행정동코드,상권업종대분류명,store_count
41131520,시설관리·임대,13
41131520,예술·스포츠,12
41131520,음식,89
41131530,과학·기술,47
41131530,교육,50
41131530,보건의료,59
41131530,부동산,30
41131530,소매,158
41131530,수리·개인,105
41131530,숙박,52
41131530,시설관리·임대,21
41131530,예술·스포츠,61
41131530,음식,298
41131540,과학·기술,49
41131540,교육,46
41131540,보건의료,26
41131540,부동산,38
41131540,소매,182
41131540,수리·개인,124
41131540,숙박,18
41131540,시설관리·임대,47
41131540,예술·스포츠,32
41131540,음식,201
41131550,과학·기술,56
41131550,교육,30
41131550,보건의료,31
41131550,부동산,29
41131550,소매,112
41131550,수리·개인,74
41131550,숙박,8
41131550,시설관리·임대,20
41131550,예술·스포츠,33
41131550,음식,162
41131560,과학·기술,31
41131560,교육,27
41131560,보건의료,30
41131560,부동산,32
41131560,소매,241
41131560,수리·개인,93
41131560,숙박,5
41131560,시설관리·임대,13
41131560,예술·스포츠,21
41131560,음식,180
41131561,과학·기술,40
41131561,교육,26
41131561,보건의료,7
41131561,부동산,16
41131561,소매,76
41131561,수리·개인,70
41131561,숙박,3
41131561,시설관리·임대,25
41131561,예술·스포츠,9
41131561,음식,85
41131570,과학·기술,46
41131570,교육,13
41131570,보건의료,38
41131570,부동산,40
41131570,소매,169
41131570,수리·개인,81
41131570,숙박,45
41131570,시설관리·임대,30
41131570,예술·스포츠,38
41131570,음식,169
41131580,과학·기술,51
41131580,교육,63
41131580,보건의료,31
41131580,부동산,32
41131580,소매,175
41131580,수리·개인,94
41131580,숙박,22
41131580,시설관리·임대,39
41131580,예술·스포츠,50
41131580,음식,200
41131590,과학·기술,88
41131590,교육,39
41131590,보건의료,16
41131590,부동산,35
41131590,소매,88
41131590,수리·개인,47
41131590,숙박,9
41131590,시설관리·임대,7
41131590,예술·스포츠,20
41131590,음식,89
41131600,과학·기술,8
41131600,교육,12
41131600,보건의료,7
41131600,부동산,20
41131600,소매,44
41131600,수리·개인,13
41131600,숙박,1
41131600,시설관리·임대,9
41131600,예술·스포츠,10
41131600,음식,40
41131610,과학·기술,20
41131610,교육,18
41131610,보건의료,14
41131610,부동산,13
41131610,소매,60
41131610,수리·개인,52
41131610,숙박,5
41131610,시설관리·임대,14
41131610,예술·스포츠,25
41131610,음식,90
41131620,과학·기술,136
41131620,교육,56
41131620,보건의료,5
41131620,부동산,32
41131620,소매,159
41131620,수리·개인,75
41131620,숙박,5
41131620,시설관리·임대,64
41131620,예술·스포츠,30
41131620,음식,190
41131625,과학·기술,269
41131625,교육,476
41131625,보건의료,146
41131625,부동산,115
41131625,소매,371
41131625,수리·개인,258
41131625,숙박,3
41131625,시설관리·임대,70
41131625,예술·스포츠,116
41131625,음식,615
41131630,과학·기술,24
41131630,교육,5
41131630,부동산,7
41131630,소매,37
41131630,수리·개인,15
41131630,시설관리·임대,11
41131630,예술·스포츠,3
41131630,음식,34
41131640,과학·기술,108
41131640,교육,30
41131640,보건의료,7
41131640,부동산,36
41131640,소매,117
41131640,수리·개인,46
41131640,숙박,1
41131640,시설관리·임대,24
41131640,예술·스포츠,13
41131640,음식,166
41131650,과학·기술,89
41131650,교육,20
41131650,보건의료,8
41131650,부동산,32
41131650,소매,140
41131650,수리·개인,38
41131650,숙박,4
41131650,시설관리·임대,16
41131650,예술·스포츠,17
41131650,음식,204
41133510,과학·기술,197
41133510,교육,126
41133510,보건의료,103
41133510,부동산,123
41133510,소매,841
41133510,수리·개인,352
41133510,숙박,93
41133510,시설관리·임대,137
41133510,예술·스포츠,147
41133510,음식,981
41133525,과학·기술,11
41133525,교육,33
41133525,보건의료,24
41133525,부동산,26
41133525,소매,91
41133525,수리·개인,66
41133525,숙박,60
41133525,시설관리·임대,26
41133525,예술·스포츠,27
41133525,음식,159
41133530,과학·기술,22
41133530,교육,67
41133530,보건의료,27
41133530,부동산,29
41133530,소매,108
41133530,수리·개인,54
41133530,숙박,3
41133530,시설관리·임대,8
41133530,예술·스포츠,29
41133530,음식,133
41133540,과학·기술,137
41133540,교육,88
41133540,보건의료,44
41133540,부동산,67
41133540,소매,229
41133540,수리·개인,199
41133540,숙박,9
41133540,시설관리·임대,38
41133540,예술·스포츠,79
41133540,음식,358
41133550,과학·기술,10
41133550,교육,2
41133550,부동산,5
41133550,소매,15
41133550,수리·개인,6
41133550,예술·스포츠,1
41133550,음식,13
41133560,과학·기술,23
41133560,교육,43
41133560,보건의료,34
41133560,부동산,34
41133560,소매,199
41133560,수리·개인,60
41133560,숙박,3
41133560,시설관리·임대,11
41133560,예술·스포츠,43
41133560,음식,156
41133570,과학·기술,378
41133570,교육,39
41133570,보건의료,18
41133570,부동산,91
41133570,소매,338
41133570,수리·개인,130
41133570,숙박,4
41133570,시설관리·임대,115
41133570,예술·스포츠,36
41133570,음식,308
41133580,과학·기술,50
41133580,교육,8
41133580,보건의료,13
41133580,부동산,23
41133580,소매,102
41133580,수리·개인,54
41133580,숙박,1
41133580,시설관리·임대,33
41133580,예술·스포츠,37
41133580,음식,123
41133590,과학·기술,29
41133590,교육,20
41133590,보건의료,24
41133590,부동산,40
41133590,소매,181
41133590,수리·개인,99
41133590,숙박,1
41133590,시설관리·임대,14
41133590,예술·스포츠,46
41133590,음식,165
41133660,과학·기술,49
41133660,교육,51
41133660,보건의료,8
41133660,부동산,19
41133660,소매,166
41133660,수리·개인,106
41133660,숙박,3
41133660,시설관리·임대,31
41133660,예술·스포츠,26
41133660,음식,117
41133670,과학·기술,124
41133670,교육,115
41133670,보건의료,26
41133670,부동산,45
41133670,소매,216
41133670,수리·개인,129
41133670,시설관리·임대,41
41133670,예술·스포츠,40
41133670,음식,202
41135510,과학·기술,49
41135510,교육,48
41135510,보건의료,5
41135510,부동산,23
41135510,소매,77
41135510,수리·개인,61
41135510,시설관리·임대,17
41135510,예술·스포츠,12
41135510,음식,56
41135520,과학·기술,283
41135520,교육,254
41135520,보건의료,77
41135520,부동산,56
41135520,소매,349
41135520,수리·개인,147
41135520,숙박,9
41135520,시설관리·임대,62
41135520,예술·스포츠,67
41135520,음식,442
41135530,과학·기술,15
41135530,교육,130
41135530,보건의료,18
41135530,부동산,15
41135530,소매,112
41135530,수리·개인,45
41135530,시설관리·임대,7
41135530,예술·스포츠,20
41135530,음식,73
41135540,과학·기술,28
41135540,교육,161
41135540,보건의료,17
41135540,부동산,22
41135540,소매,93
41135540,수리·개인,57
41135540,숙박,1
41135540,시설관리·임대,10
41135540,예술·스포츠,25
41135540,음식,99
41135545,과학·기술,86
41135545,교육,156
41135545,보건의료,27
41135545,부동산,33
41135545,소매,182
41135545,수리·개인,142
41135545,숙박,1
41135545,시설관리·임대,37
41135545,예술·스포츠,66
41135545,음식,347
41135550,과학·기술,247
41135550,교육,428
41135550,보건의료,131
41135550,부동산,75
41135550,소매,294
41135550,수리·개인,185
41135550,숙박,16
41135550,시설관리·임대,64
41135550,예술·스포츠,96
41135550,음식,672
41135560,과학·기술,4
41135560,교육,17
41135560,보건의료,5
41135560,부동산,16
41135560,소매,27
41135560,수리·개인,19
41135560,예술·스포츠,6
41135560,음식,21
41135570,과학·기술,34
41135570,교육,44
41135570,보건의료,5
41135570,부동산,23
41135570,소매,59
41135570,수리·개인,39
41135570,숙박,1
41135570,시설관리·임대,6
41135570,예술·스포츠,7
41135570,음식,53
41135580,과학·기술,372
41135580,교육,273
41135580,보건의료,189
41135580,부동산,112
41135580,소매,703
41135580,수리·개인,311
41135580,숙박,26
41135580,시설관리·임대,105
41135580,예술·스포츠,148
41135580,음식,761
41135590,과학·기술,37
41135590,교육,175
41135590,보건의료,35
41135590,부동산,22
41135590,소매,132
41135590,수리·개인,72
41135590,시설관리·임대,7
41135590,예술·스포츠,36
41135590,음식,161
41135600,과학·기술,67
41135600,교육,146
41135600,보건의료,22
41135600,부동산,33
41135600,소매,109
41135600,수리·개인,75
41135600,숙박,2
41135600,시설관리·임대,16
41135600,예술·스포츠,29
41135600,음식,97
41135610,과학·기술,18
41135610,교육,81
41135610,보건의료,14
41135610,부동산,15
41135610,소매,57
41135610,수리·개인,40
41135610,숙박,2
41135610,시설관리·임대,13
41135610,예술·스포츠,26
41135610,음식,53
41135620,과학·기술,292
41135620,교육,97
41135620,보건의료,115
41135620,부동산,61
41135620,소매,494
41135620,수리·개인,251
41135620,숙박,17
41135620,시설관리·임대,106
41135620,예술·스포츠,112
41135620,음식,563
41135630,과학·기술,43
41135630,교육,85
41135630,보건의료,11
41135630,부동산,21
41135630,소매,62
41135630,수리·개인,41
41135630,시설관리·임대,11
41135630,예술·스포츠,22
41135630,음식,62
41135640,과학·기술,170
41135640,교육,109
41135640,보건의료,17
41135640,부동산,40
41135640,소매,209
41135640,수리·개인,143
41135640,숙박,4
41135640,시설관리·임대,85
41135640,예술·스포츠,45
41135640,음식,210
41135650,과학·기술,82
41135650,교육,131
41135650,보건의료,24
41135650,부동산,42
41135650,소매,184
41135650,수리·개인,83
41135650,시설관리·임대,6
41135650,예술·스포츠,26
41135650,음식,181
41135655,과학·기술,429
41135655,교육,166
41135655,보건의료,82
41135655,부동산,73
41135655,소매,289
41135655,수리·개인,115
41135655,숙박,5
41135655,시설관리·임대,89
41135655,예술·스포츠,56
41135655,음식,726
41135657,과학·기술,121
41135657,교육,120
41135657,보건의료,34
41135657,부동산,46
41135657,소매,453
41135657,수리·개인,140
41135657,숙박,1
41135657,시설관리·임대,36
41135657,예술·스포츠,26
41135657,음식,343
41135662,과학·기술,130
41135662,교육,137
41135662,보건의료,105
41135662,부동산,64
41135662,소매,275
41135662,수리·개인,162
41135662,숙박,4
41135662,시설관리·임대,34
41135662,예술·스포츠,67
41135662,음식,284
41135665,과학·기술,113
41135665,교육,104
41135665,보건의료,55
41135665,부동산,35
41135665,소매,336
41135665,수리·개인,101
41135665,숙박,6
41135665,시설관리·임대,33
41135665,예술·스포츠,41
41135665,음식,269
41135670,과학·기술,204
41135670,교육,149
41135670,보건의료,57
41135670,부동산,62
41135670,소매,224
41135670,수리·개인,143
41135670,숙박,10
41135670,시설관리·임대,47
41135670,예술·스포츠,73
41135670,음식,311
41135680,과학·기술,144
41135680,교육,205
41135680,보건의료,44
41135680,부동산,76
41135680,소매,229
41135680,수리·개인,129
41135680,숙박,1
41135680,시설관리·임대,37
41135680,예술·스포츠,50
41135680,음식,290
41150510,과학·기술,181
41150510,교육,149
41150510,보건의료,157
41150510,부동산,120
41150510,소매,1653
41150510,수리·개인,521
41150510,숙박,102
41150510,시설관리·임대,118
41150510,예술·스포츠,161
41150510,음식,1441
41150520,과학·기술,310
41150520,교육,112
41150520,보건의료,64
41150520,부동산,59
41150520,소매,411
41150520,수리·개인,252
41150520,숙박,37
41150520,시설관리·임대,112
41150520,예술·스포츠,114
41150520,음식,692
41150545,과학·기술,59
41150545,교육,79
41150545,보건의료,28
41150545,부동산,29
41150545,소매,179
41150545,수리·개인,133
41150545,숙박,7
41150545,시설관리·임대,25
41150545,예술·스포츠,54
41150545,음식,265
41150555,과학·기술,51
41150555,교육,131
41150555,보건의료,56
41150555,부동산,34
