행정동코드,상권업종중분류명,store_count
41111591,법무관련 ,3
41111591,병원,5
41111591,본사·경영 컨설팅,10
41111591,부동산 서비스,32
41111591,비알코올 ,55
41111591,사진 촬영,7
41111591,산업용품 대여,3
41111591,서양식,13
41111591,섬유·의복·신발 소매,23
41111591,세탁,9
41111591,수의,1
41111591,스포츠 서비스,32
41111591,시계·귀금속 소매,2
41111591,시설관리,4
41111591,식료품 소매,13
41111591,식물 소매,9
41111591,안경·정밀기기 소매,7
41111591,애완동물·용품 소매,5
41111591,여행사·보조,5
41111591,연료 소매,3
41111591,오락용품 소매,18
41111591,욕탕·신체관리,6
41111591,운송장비 대여,3
41111591,유원지·오락,33
41111591,의약·화장품 소매,20
41111591,의원,24
41111591,이용·미용,84
41111591,인쇄·제품제작,4
41111591,일반 교육,18
41111591,일반 숙박,7
41111591,일식,13
41111591,자동차 부품 소매,3
41111591,자동차 수리·세차,21
41111591,장례식장 ,4
41111591,장식품 소매,1
41111591,전문 디자인,17
41111591,조경·유지,2
41111591,종합 소매,40
41111591,주점,32
41111591,중고 상품 소매,5
41111591,중식,11
41111591,철물·건설자재 소매,8
41111591,청소·방제,21
41111591,컴퓨터 수리,3
41111591,통신장비 수리,2
41111591,한식,160
41111591,회계·세무,9
41111597,가구 소매,3
41111597,가전·통신 소매,21
41111597,가전제품 수리,9
41111597,가정용품 대여,7
41111597,고용 알선,8
41111597,광고,11
41111597,교육 지원,1
41111597,구내식당·뷔페,2
41111597,기술 서비스,8
41111597,기타 가정용품 수리,4
41111597,기타 간이,79
41111597,기타 교육,52
41111597,기타 보건,1
41111597,기타 사업 서비스,2
41111597,기타 상품 소매,6
41111597,기타 생활용품 소매,8
41111597,기타 전문 과학,1
41111597,담배 소매,2
41111597,도서관·사적지,7
41111597,동남아시아,1
41111597,모터사이클 소매,2
41111597,모터사이클 수리,1
41111597,법무관련 ,4
41111597,병원,1
41111597,본사·경영 컨설팅,5
41111597,부동산 서비스,34
41111597,비알코올 ,34
41111597,사무 지원,1
41111597,사진 촬영,5
41111597,산업용품 대여,2
41111597,서양식,5
41111597,섬유·의복·신발 소매,16
41111597,세탁,21
41111597,수의,2
41111597,스포츠 서비스,15
41111597,시계·귀금속 소매,3
41111597,시설관리,4
41111597,식료품 소매,36
41111597,식물 소매,11
41111597,안경·정밀기기 소매,4
41111597,애완동물·용품 소매,7
41111597,연료 소매,3
41111597,오락용품 소매,13
41111597,욕탕·신체관리,4
41111597,운송장비 대여,1
41111597,유원지·오락,27
41111597,음료 소매,1
41111597,의약·화장품 소매,20
41111597,의원,19
41111597,이용·미용,92
41111597,인쇄·제품제작,5
41111597,일반 교육,32
41111597,일식,7
41111597,자동차 수리·세차,15
41111597,전문 디자인,26
41111597,종합 소매,56
41111597,주점,14
41111597,중고 상품 소매,4
41111597,중식,9
41111597,철물·건설자재 소매,15
41111597,청소·방제,15
41111597,컴퓨터 수리,8
41111597,통신장비 수리,1
41111597,한식,104
41111598,가구 소매,1
41111598,가전·통신 소매,3
41111598,고용 알선,2
41111598,교육 지원,2
41111598,구내식당·뷔페,1
41111598,기술 서비스,7
41111598,기타 가정용품 수리,1
41111598,기타 간이,20
41111598,기타 교육,21
41111598,기타 보건,3
41111598,기타 상품 소매,4
41111598,기타 생활용품 소매,1
41111598,담배 소매,2
41111598,도서관·사적지,6
41111598,동남아시아,2
41111598,법무관련 ,2
41111598,본사·경영 컨설팅,3
41111598,부동산 서비스,9
41111598,비알코올 ,20
41111598,사진 촬영,2
41111598,서양식,1
41111598,섬유·의복·신발 소매,39
41111598,세탁,4
41111598,수의,1
41111598,스포츠 서비스,8
41111598,시계·귀금속 소매,4
41111598,식료품 소매,7
41111598,식물 소매,5
41111598,안경·정밀기기 소매,1
41111598,애완동물·용품 소매,2
41111598,여행사·보조,4
41111598,오락용품 소매,7
41111598,욕탕·신체관리,3
41111598,유원지·오락,6
41111598,의약·화장품 소매,12
41111598,의원,37
41111598,이용·미용,36
41111598,일반 교육,29
41111598,일식,3
41111598,자동차 부품 소매,1
41111598,자동차 수리·세차,4
41111598,전문 디자인,3
41111598,조경·유지,1
41111598,종합 소매,12
41111598,주점,2
41111598,중식,7
41111598,청소·방제,2
41111598,컴퓨터 수리,1
41111598,한식,25
41111598,회계·세무,2
41111600,가전·통신 소매,9
41111600,가전제품 수리,6
41111600,가정용품 대여,3
41111600,고용 알선,9
41111600,광고,5
41111600,교육 지원,4
41111600,구내식당·뷔페,3
41111600,기술 서비스,7
41111600,기타 가정용품 수리,4
41111600,기타 간이,55
41111600,기타 교육,29
41111600,기타 사업 서비스,3
41111600,기타 상품 소매,7
41111600,기타 생활용품 소매,2
41111600,기타 숙박,6
41111600,기타 전문 과학,1
41111600,담배 소매,1
41111600,도서관·사적지,1
41111600,동남아시아,2
41111600,모터사이클 소매,1
41111600,법무관련 ,1
41111600,병원,2
41111600,본사·경영 컨설팅,3
41111600,부동산 서비스,28
41111600,비알코올 ,48
41111600,사무 지원,2
41111600,사진 촬영,7
41111600,산업용품 대여,1
41111600,서양식,4
41111600,섬유·의복·신발 소매,24
41111600,세탁,8
41111600,수의,2
41111600,스포츠 서비스,9
41111600,시계·귀금속 소매,7
41111600,시설관리,17
41111600,식료품 소매,47
41111600,식물 소매,18
